episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,agentHasGold,reward,alpha,gamma,epsilon,epsilonDecay
299,86,true,true,true,1815.0,0.1,0.99,0.04953625663766238,0.01
300,489,false,false,false,-4338.0,0.1,0.99,0.04904089407128576,0.01
301,3,false,false,false,-2002.0,0.1,0.99,0.0485504851305729,0.01
302,86,true,true,true,1865.0,0.1,0.99,0.048064980279267165,0.01
303,26,false,true,false,-2035.0,0.1,0.99,0.04758433047647449,0.01
304,163,false,false,false,-2242.0,0.1,0.99,0.04710848717170975,0.01
305,18,false,false,false,-2027.0,0.1,0.99,0.04663740229999265,0.01
306,274,false,false,false,-2933.0,0.1,0.99,0.04617102827699272,0.01
307,39,true,true,true,1932.0,0.1,0.99,0.045709317994222794,0.01
308,81,true,true,true,1900.0,0.1,0.99,0.04525222481428057,0.01
309,82,true,true,true,1379.0,0.1,0.99,0.04479970256613776,0.01
310,40,false,true,false,-2049.0,0.1,0.99,0.04435170554047638,0.01
311,69,true,true,true,1842.0,0.1,0.99,0.043908188485071616,0.01
312,83,true,true,true,778.0,0.1,0.99,0.0434691066002209,0.01
313,73,true,true,true,1858.0,0.1,0.99,0.04303441553421869,0.01
314,80,true,true,true,1361.0,0.1,0.99,0.0426040713788765,0.01
315,33,false,false,false,-2052.0,0.1,0.99,0.04217803066508773,0.01
316,64,true,true,true,1867.0,0.1,0.99,0.04175625035843686,0.01
317,3,false,false,false,-2012.0,0.1,0.99,0.041338687854852486,0.01
318,180,false,false,false,-3309.0,0.1,0.99,0.04092530097630396,0.01
319,61,true,true,true,1890.0,0.1,0.99,0.040516047966540916,0.01
320,70,true,true,true,1881.0,0.1,0.99,0.04011088748687551,0.01
321,152,false,false,false,-2251.0,0.1,0.99,0.03970977861200675,0.01
322,66,true,true,true,1895.0,0.1,0.99,0.03931268082588668,0.01
323,59,true,true,true,1932.0,0.1,0.99,0.03891955401762781,0.01
324,50,true,true,true,1921.0,0.1,0.99,0.03853035847745153,0.01
325,3,false,false,false,-2002.0,0.1,0.99,0.03814505489267701,0.01
326,23,false,true,false,-2032.0,0.1,0.99,0.03776360434375024,0.01
327,61,true,true,true,1910.0,0.1,0.99,0.03738596830031274,0.01
328,261,false,false,false,-2930.0,0.1,0.99,0.03701210861730961,0.01
329,24,false,true,false,-2033.0,0.1,0.99,0.03664198753113651,0.01
330,44,true,true,true,1937.0,0.1,0.99,0.036275567655825146,0.01
331,50,true,true,true,1911.0,0.1,0.99,0.03591281197926689,0.01
332,5,false,false,false,-2504.0,0.1,0.99,0.035553683859474224,0.01
333,60,true,true,true,871.0,0.1,0.99,0.03519814702087948,0.01
334,63,true,true,true,1838.0,0.1,0.99,0.03484616555067068,0.01
335,538,false,false,false,-5327.0,0.1,0.99,0.034497703895163975,0.01
336,53,true,true,true,1888.0,0.1,0.99,0.03415272685621234,0.01
337,8,false,false,false,-2507.0,0.1,0.99,0.03381119958765021,0.01
338,54,true,true,true,1897.0,0.1,0.99,0.03347308759177371,0.01
339,36,true,true,true,1945.0,0.1,0.99,0.03313835671585597,0.01
340,44,true,true,true,1947.0,0.1,0.99,0.03280697314869741,0.01
341,55,true,true,true,1406.0,0.1,0.99,0.032478903417210436,0.01
342,41,true,true,true,1940.0,0.1,0.99,0.032154114383038335,0.01
343,52,true,true,true,1919.0,0.1,0.99,0.03183257323920795,0.01
344,41,true,true,true,1950.0,0.1,0.99,0.03151424750681587,0.01
345,34,true,true,true,1957.0,0.1,0.99,0.03119910503174771,0.01
346,35,true,true,true,1956.0,0.1,0.99,0.030887113981430233,0.01
347,35,true,true,true,1946.0,0.1,0.99,0.03057824284161593,0.01
348,54,true,true,true,1417.0,0.1,0.99,0.03027246041319977,0.01
349,24,true,true,true,1967.0,0.1,0.99,0.029969735809067772,0.01
350,48,true,true,true,1893.0,0.1,0.99,0.029670038450977095,0.01
351,40,true,true,true,1891.0,0.1,0.99,0.029373338066467324,0.01
352,39,true,true,true,1942.0,0.1,0.99,0.02907960468580265,0.01
353,36,true,true,true,1445.0,0.1,0.99,0.028788808638944622,0.01
354,38,true,true,true,1953.0,0.1,0.99,0.028500920552555174,0.01
355,97,false,false,false,-2646.0,0.1,0.99,0.028215911347029624,0.01
356,26,true,true,true,1955.0,0.1,0.99,0.027933752233559327,0.01
357,25,true,true,true,1966.0,0.1,0.99,0.027654414711223735,0.01
358,39,true,true,true,1952.0,0.1,0.99,0.027377870564111496,0.01
359,285,false,false,false,-3414.0,0.1,0.99,0.027104091858470382,0.01
360,30,true,true,true,1951.0,0.1,0.99,0.026833050939885677,0.01
361,29,true,true,true,1952.0,0.1,0.99,0.02656472043048682,0.01
362,136,false,false,false,-2235.0,0.1,0.99,0.02629907322618195,0.01
363,297,false,false,false,-2946.0,0.1,0.99,0.026036082493920133,0.01
364,27,true,true,true,1964.0,0.1,0.99,0.02577572166898093,0.01
365,25,true,true,true,1966.0,0.1,0.99,0.025517964452291122,0.01
366,31,true,true,true,1960.0,0.1,0.99,0.02526278480776821,0.01
367,30,true,true,true,1961.0,0.1,0.99,0.025010156959690527,0.01
368,21,true,true,true,1970.0,0.1,0.99,0.02476005539009362,0.01
369,528,false,false,false,-3267.0,0.1,0.99,0.024512454836192684,0.01
370,35,true,true,true,1956.0,0.1,0.99,0.024267330287830756,0.01
371,27,true,true,true,1964.0,0.1,0.99,0.024024656984952448,0.01
372,22,true,true,true,1959.0,0.1,0.99,0.023784410415102923,0.01
373,27,true,true,true,1964.0,0.1,0.99,0.023546566310951894,0.01
374,27,true,true,true,1944.0,0.1,0.99,0.023311100647842375,0.01
375,21,true,true,true,1970.0,0.1,0.99,0.02307798964136395,0.01
376,26,true,true,true,1965.0,0.1,0.99,0.022847209744950314,0.01
377,374,false,false,false,-3063.0,0.1,0.99,0.02261873764750081,0.01
378,22,true,true,true,1969.0,0.1,0.99,0.022392550271025803,0.01
379,22,true,true,true,1969.0,0.1,0.99,0.022168624768315544,0.01
380,20,true,true,true,1971.0,0.1,0.99,0.02194693852063239,0.01
381,27,true,true,true,1964.0,0.1,0.99,0.021727469135426065,0.01
382,21,true,true,true,1970.0,0.1,0.99,0.021510194444071803,0.01
383,20,true,true,true,1971.0,0.1,0.99,0.021295092499631085,0.01
384,25,true,true,true,1966.0,0.1,0.99,0.021082141574634772,0.01
