episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,reward,alpha,gamma,epsilon,epsilonDecay
366,21,true,true,1960.0,0.1,0.99,0.02526278480776821,0.01
367,23,true,true,1968.0,0.1,0.99,0.025010156959690527,0.01
368,25,true,true,1966.0,0.1,0.99,0.02476005539009362,0.01
369,23,true,true,1968.0,0.1,0.99,0.024512454836192684,0.01
370,20,true,true,1971.0,0.1,0.99,0.024267330287830756,0.01
371,21,true,true,1970.0,0.1,0.99,0.024024656984952448,0.01
372,24,true,true,1967.0,0.1,0.99,0.023784410415102923,0.01
373,20,true,true,1971.0,0.1,0.99,0.023546566310951894,0.01
374,21,true,true,1960.0,0.1,0.99,0.023311100647842375,0.01
375,23,true,true,1948.0,0.1,0.99,0.02307798964136395,0.01
376,21,true,true,1970.0,0.1,0.99,0.022847209744950314,0.01
377,20,true,true,1971.0,0.1,0.99,0.02261873764750081,0.01
378,20,true,true,1971.0,0.1,0.99,0.022392550271025803,0.01
379,23,true,true,1958.0,0.1,0.99,0.022168624768315544,0.01
380,20,true,true,1971.0,0.1,0.99,0.02194693852063239,0.01
381,20,true,true,1971.0,0.1,0.99,0.021727469135426065,0.01
382,20,true,true,1971.0,0.1,0.99,0.021510194444071803,0.01
383,20,true,true,1971.0,0.1,0.99,0.021295092499631085,0.01
384,20,true,true,1971.0,0.1,0.99,0.021082141574634772,0.01
385,516,false,false,-4335.0,0.1,0.99,0.020871320158888425,0.01
386,20,true,true,1971.0,0.1,0.99,0.020662606957299542,0.01
387,20,true,true,1971.0,0.1,0.99,0.020455980887726547,0.01
388,20,true,true,1971.0,0.1,0.99,0.02025142107884928,0.01
389,20,true,true,1971.0,0.1,0.99,0.020048906868060788,0.01
390,20,true,true,1971.0,0.1,0.99,0.01984841779938018,0.01
391,20,true,true,1971.0,0.1,0.99,0.019649933621386378,0.01
392,20,true,true,1971.0,0.1,0.99,0.019453434285172513,0.01
393,20,true,true,1971.0,0.1,0.99,0.019258899942320787,0.01
394,25,false,false,-2554.0,0.1,0.99,0.01906631094289758,0.01
